"B01-coarse-16S_Rhizome"	"B01-rhizo-16s_Rhizosphere"	"B01-soil-16s_Bulk soil"	"B03-rhizo-16s_Rhizome"	"B03-soil-16s_Rhizosphere"	"B03-coarse-16S_Bulk soil"	"B07-rhizo-16s_Rhizome"	"B07-soil-16s_Rhizosphere"	"B07-coarse-16S_Bulk soil"	"B09-soil-16s_Rhizome"	"B09-rhizo-16s_Rhizosphere"	"B09-coarse-16S_Bulk soil"	"B10-rhizo-16s_Rhizome"	"B10-coarse-16S_Rhizosphere"	"B10-soil-16s_Bulk soil"	"B11-coarse-16S_Rhizome"	"B11-soil-16s_Rhizosphere"	"B11-rhizo-16s_Bulk soil"	"B12-rhizo-16s_Rhizome"	"B12-coarse-16S_Rhizosphere"	"B12-soil-16s_Bulk soil"	"B13-coarse-16S_Rhizome"	"B13-soil-16s_Rhizosphere"	"B13-rhizo-16s_Bulk soil"	"B14-soil-16s_Rhizome"	"B14-coarse-16S_Rhizosphere"	"B14-rhizo-16s_Bulk soil"	"B15-rhizo-16s_Rhizome"	"B15-soil-16s_Rhizosphere"	"B15-coarse-16S_Bulk soil"	"B16-soil-16s_Rhizome"	"B16-rhizo-16s_Rhizosphere"	"B16-coarse-16S_Bulk soil"	"B17-coarse-16S_Rhizome"	"B17-rhizo-16s_Rhizosphere"	"B17-soil-16s_Bulk soil"	"B18-soil-16s_Rhizome"	"B18-rhizo-16s_Rhizosphere"	"B18-coarse-16S_Bulk soil"	"U01-coarse-16S_Rhizome"	"U01-rhizo-16s_Rhizosphere"	"U01-soil-16s_Bulk soil"	"U02-soil-16s_Rhizome"	"U02-rhizo-16s_Rhizosphere"	"U02-coarse-16S_Bulk soil"	"U03-soil-16s_Rhizome"	"U03-rhizo-16s_Rhizosphere"	"U03-coarse-16S_Bulk soil"	"U04-soil-16s_Rhizome"	"U04-rhizo-16s_Rhizosphere"	"U04-coarse-16S_Bulk soil"	"U05-rhizo-16s_Rhizome"	"U05-soil-16s_redo_Rhizosphere"	"U05-coarse-16S_Bulk soil"	"U06-coarse-16S_Rhizome"	"U06-rhizo-16s_Rhizosphere"	"U06-soil-16s_Bulk soil"	"U07-soil-16s_Rhizome"	"U07-coarse-16S_Rhizosphere"	"U07-rhizo-16s_Bulk soil"	"U08-rhizo-16s_Rhizome"	"U08-coarse-16S_Rhizosphere"	"U08-soil-16s_Bulk soil"	"B04-coarse-16S_Rhizome"	"B04-soil-16s_Rhizosphere"	"B04-rhizo-16s_Bulk soil"	"U09-soil-16s_Rhizome"	"U09-coarse-16S-C_Rhizosphere"	"U09-rhizo-16s_Bulk soil"	"Unknown"
"B16-fine-16s_Stem"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0497732818759636	0.00964115579575653	0.102849729470556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.837735832857724
"B17-fine-16s_Leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0252860872728741	0.0335327989159239	0.116761755512691	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.824419358298511
"B18-fine-16s_Fine root"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00889307163285e-06	0.0249720461128209	0.0256038338309981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.949423111163109
"U01-fine-16s_Stem"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0130483935137932	0.027647557520882	0.00760491577178726	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.951699133193537
"U02-fine-16s_Leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0799627814423394	0.0512197698631726	0.0425858403181708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.826231608376317
"U03-fine-16s_Fine root"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0196654811790817	0.0207038653495959	0.0422913043435697	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.917339349127753
"U04-fine-16s_Stem"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0111588236942657	0.0261477769412752	0.0411379090753477	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.921555490289111
"U05-fine-16s_Leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00859584701456414	2.36901893563156e-07	0.177383643184558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.814020272898984
"U06-fine-16s_Fine root"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00789640407472379	0.00212742391327479	0.0107683445851411	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.97920782742686
"U07-fine-16s_Stem"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0213899211384448	0.0900843032723329	0.0404397042188637	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.848086071370359
