SampleID	Env	SourceSink	id
B04-soil-ITS-B	Bulk soil	Source	45
B04-rhizo-ITS	Rhizosphere	Source	45
B04-leaves-ITS	Leaf	Sink	45
B05-coarse-ITS	Rhizome	Source	46
B05-soil-ITS	Bulk soil	Source	46
B05-rhizo-ITS	Rhizosphere	Source	46
B05-leaves-ITS	Leaf	Sink	46
B05-coarse-ITS	Rhizome	Source	47
B05-soil-ITS	Bulk soil	Source	47
B05-rhizo-ITS	Rhizosphere	Source	47
B05-stem-ITS	Stem	Sink	47
B06-coarse-ITS	Rhizome	Source	48
B06-soil-ITS	Bulk soil	Source	48
B06-rhizo-ITS	Rhizosphere	Source	48
B06-leaves-ITS	Leaf	Sink	48
B06-coarse-ITS	Rhizome	Source	49
B06-soil-ITS	Bulk soil	Source	49
B06-rhizo-ITS	Rhizosphere	Source	49
B06-stem-ITS	Stem	Sink	49
B07-coarse-ITS	Rhizome	Source	50
B07-soil-ITS	Bulk soil	Source	50
B07-rhizo-ITS	Rhizosphere	Source	50
B07-leaves-ITS	Leaf	Sink	50
B07-coarse-ITS	Rhizome	Source	51
B07-soil-ITS	Bulk soil	Source	51
B07-rhizo-ITS	Rhizosphere	Source	51
B07-stem-ITS	Stem	Sink	51
B08-soil-ITS	Bulk soil	Source	52
B08-rhizo-ITS	Rhizosphere	Source	52
B08-coarse-ITS	Rhizome	Source	52
B08-leaves-ITS	Leaf	Sink	52
B09-soil-ITS	Bulk soil	Source	53
B09-coarse-ITS	Rhizome	Source	53
B09-rhizo-ITS	Rhizosphere	Source	53
B09-leaves-ITS	Leaf	Sink	53
B10-soil-ITS	Bulk soil	Source	54
B10-coarse-ITS	Rhizome	Source	54
B10-rhizo-ITS	Rhizosphere	Source	54
B10-leaves-ITS	Leaf	Sink	54
B11-coarse-ITS_redo	Rhizome	Source	55
B11-soil-ITS	Bulk soil	Source	55
B11-rhizo-ITS	Rhizosphere	Source	55
B11-leaves-ITS	Leaf	Sink	55
B12-coarse-ITS	Rhizome	Source	56
B12-soil-ITS	Bulk soil	Source	56
B12-rhizo-ITS	Rhizosphere	Source	56
B12-leaves-ITS	Leaf	Sink	56
B12-coarse-ITS	Rhizome	Source	57
B12-soil-ITS	Bulk soil	Source	57
B12-rhizo-ITS	Rhizosphere	Source	57
B12-stem-ITS	Stem	Sink	57
B13-soil-ITS	Bulk soil	Source	58
B13-rhizo-ITS	Rhizosphere	Source	58
B13-coarse-ITS_redo	Rhizome	Source	58
B13-leaves-ITS	Leaf	Sink	58
B13-soil-ITS	Bulk soil	Source	59
B13-rhizo-ITS	Rhizosphere	Source	59
B13-coarse-ITS_redo	Rhizome	Source	59
B13-stem-ITS	Stem	Sink	59
B14-soil-ITS	Bulk soil	Source	60
B14-coarse-ITS	Rhizome	Source	60
B14-rhizo-ITS	Rhizosphere	Source	60
B14-leaves-ITS	Leaf	Sink	60
B15-coarse-ITS_redo	Rhizome	Source	61
B15-rhizo-ITS	Rhizosphere	Source	61
B15-soil-ITS	Bulk soil	Source	61
B15-leaves-ITS	Leaf	Sink	61
B16-soil-ITS	Bulk soil	Source	62
B16-coarse-ITS	Rhizome	Source	62
B16-rhizo-ITS	Rhizosphere	Source	62
B16-leaves-ITS	Leaf	Sink	62
B17-soil-ITS	Bulk soil	Source	63
B17-coarse-ITS	Rhizome	Source	63
B17-rhizo-ITS	Rhizosphere	Source	63
B17-leaves-ITS	Leaf	Sink	63
B17-soil-ITS	Bulk soil	Source	64
B17-coarse-ITS	Rhizome	Source	64
B17-rhizo-ITS	Rhizosphere	Source	64
B17-stem-ITS	Stem	Sink	64
B18-coarse-ITS-D	Rhizome	Source	65
B18-soil-ITS	Bulk soil	Source	65
B18-rhizo-ITS	Rhizosphere	Source	65
B18-leaves-ITS	Leaf	Sink	65
B18-coarse-ITS-D	Rhizome	Source	66
B18-soil-ITS	Bulk soil	Source	66
B18-rhizo-ITS	Rhizosphere	Source	66
B18-stem-ITS	Stem	Sink	66
U01-coarse-ITS	Rhizome	Source	67
U01-soil-ITS	Bulk soil	Source	67
U01-rhizo-ITS	Rhizosphere	Source	67
